product_id,url,product_name,brand,price,tier,weight_g,length_mm,width_mm,height_mm,feet_material,sensor_model,max_dpi,max_ips,max_acceleration_g,max_polling_rate,switch_type,connectivity,battery_max_hours,charging_port,is_rechargeable,button_count,is_gaming,hand_orientation,avg_rating,total_reviews,key_pros,key_cons,has_rgb,color,is_silent,switch_brand,has_multi_pairing,grip_type,housing_design,reviews
91766396,https://prod.danawa.com/info/?pcode=91766396&cate=112787,ASUS TUF Gaming MINI 하츠네 미쿠 에디션,ASUS,144000,D_metadata_only,,115,,37.5,,,,37,,,,유선,,,Y,,N,,,,,,N,,N,,N,,,
28079951,https://prod.danawa.com/info/?pcode=28079951&cate=112787,DELL MS900 무선,DELL,144260,D_metadata_only,,126.7,,45.8,,,,126,,,,무선,,,Y,,N,오른손잡이용,,,,,N,,N,,N,,,
95286548,https://prod.danawa.com/info/?pcode=95286548&cate=112787,CORSAIR 나이트세이버 RGB 무선 게이밍 중고,CORSAIR,144770,D_metadata_only,,129.41,,40.41,,MARKSMAN,,2000,,2000,기계식,유선+무선,,,Y,,Y,,,,,,Y,,N,,Y,,,
79112888,https://prod.danawa.com/info/?pcode=79112888&cate=112787,Evoluent VM4S Vertical Mouse,Evoluent,146360,B_detail_only,,,,,,,,57,,,,"유선,2.4GHz무선,블루투스",,,Y,,N,오른손잡이용,,,,,N,,N,,N,,에르고,
74999120,https://prod.danawa.com/info/?pcode=74999120&cate=112787,애플 Magic Trackpad MXK93KH/A,애플,147310,C_reviews_only,,114.9,,10.9,,,,,,,,유선,,,,,N,,4.92,12,,,N,,N,,N,,,"[긍정] 와, 배송이 엄청 빠르네요. 어젯밤 11시 넘어서 주문한 게 오늘 오전에 도착했네요@_@ 실제로 보니까 작고 귀여워서 너무 앙증 맞습니다>.<乃"
99732452,https://prod.danawa.com/info/?pcode=99732452&cate=112787,Pulsar X2 CrazyLight 무선 미디움,Pulsar,147420,B_detail_only,39,120.4,,38,,,32000,750,,8000,광학,무선,1000,USB-C,Y,,Y,오른손잡이용,,16,,,N,,N,TTC,N,"클로그립,핑거그립","대칭형,에르고",
15906449,https://prod.danawa.com/info/?pcode=15906449&cate=112787,로지텍 G303 SHROUD 에디션 (정품),로지텍,147870,D_metadata_only,40,125,,40,,HERO 25,,40,40,,,유선,,,Y,,N,오른손잡이용,,2,,,N,,N,,N,,,
75854975,https://prod.danawa.com/info/?pcode=75854975&cate=112787,Pulsar X2 CrazyLight 무선,Pulsar,148000,B_detail_only,35,115.6,,36.6,,,32000,750,,1000,광학,무선,1000,USB-C,Y,,Y,오른손잡이용,,16,,,N,,N,,Y,"클로그립,핑거그립","대칭형,에르고",
99289271,https://prod.danawa.com/info/?pcode=99289271&cate=112787,Pulsar X3 CrazyLight 무선 RHD,Pulsar,148000,B_detail_only,43,119.6,,41,,,32000,750,50,8000,광학,무선,1000,USB-C,Y,,Y,오른손잡이용,,16,,,N,,N,TTC,Y,"팜그립,클로그립","대칭형,에르고",
106720994,https://prod.danawa.com/info/?pcode=106720994&cate=112787,Pulsar X2N CrazyLight 무선 미니,Pulsar,148000,B_detail_only,43,118.4,,38.2,,,32000,750,,8000,광학,,1000,USB-C,Y,6,Y,양손,,16,,,N,,N,TTC,Y,클로그립,대칭형,
98411243,https://prod.danawa.com/info/?pcode=98411243&cate=112787,Pulsar X2H CrazyLight,Pulsar,148000,B_detail_only,37,115.6,62,38,,,32000,750,50,8000,광학,,1000,USB-C,Y,,Y,오른손잡이용,,16,,,N,,N,,Y,클로그립,"대칭형,에르고",
99289349,https://prod.danawa.com/info/?pcode=99289349&cate=112787,Pulsar X3 CrazyLight 무선 LHD,Pulsar,148000,D_metadata_only,,119.6,,41,,,,,,8000,기계식,무선,,,Y,,N,오른손잡이용,,,,,N,,N,,N,,,
14919836,https://prod.danawa.com/info/?pcode=14919836&cate=112787,로지텍 G304 LIGHTSPEED WIRELESS K/DA,로지텍,148800,C_reviews_only,,116,,38,,HERO,,,,,기계식,2.4GHz무선,,,N,,N,오른손잡이용,4.6,5,디자인,,N,,N,,N,,,[긍정] M585 마우스를 만족하며 사용중이라 노트북에 사용하기 위해 G304 제품을 추가 구매했는데 괜찮은거 같습니다
